2017-09-20 15:02:15 Jepsen starting etcd :--log-output :stderr :--name ec2-35-156-80-2.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 15:02:15.998771 I | etcdmain: etcd Version: 3.1.5
2017-09-20 15:02:15.998803 I | etcdmain: Git SHA: 20490ca
2017-09-20 15:02:15.998810 I | etcdmain: Go Version: go1.7.5
2017-09-20 15:02:15.998814 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 15:02:15.998818 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 15:02:15.998835 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 15:02:15.998848 W | embed: expected IP in URL for binding (http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 15:02:15.998853 W | embed: expected IP in URL for binding (http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 15:02:16.000592 I | embed: listening for peers on http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 15:02:16.001039 I | embed: listening for client requests on ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379
2017-09-20 15:02:16.006481 I | pkg/netutil: resolving ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 to 172.31.21.212:2380
2017-09-20 15:02:16.006889 I | pkg/netutil: resolving ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 to 172.31.21.212:2380
2017-09-20 15:02:20.007762 I | etcdserver: name = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com
2017-09-20 15:02:20.007794 I | etcdserver: data dir = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 15:02:20.007801 I | etcdserver: member dir = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 15:02:20.007806 I | etcdserver: heartbeat = 100ms
2017-09-20 15:02:20.007810 I | etcdserver: election = 1000ms
2017-09-20 15:02:20.007815 I | etcdserver: snapshot count = 10000
2017-09-20 15:02:20.007827 I | etcdserver: advertise client URLs = http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379
2017-09-20 15:02:20.007833 I | etcdserver: initial advertise peer URLs = http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 15:02:20.007868 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 15:02:20.017008 I | etcdserver: starting member 4947815f01d43c9c in cluster 663a90b2fc437693
2017-09-20 15:02:20.017040 I | raft: 4947815f01d43c9c became follower at term 0
2017-09-20 15:02:20.017055 I | raft: newRaft 4947815f01d43c9c [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 15:02:20.017067 I | raft: 4947815f01d43c9c became follower at term 1
2017-09-20 15:02:20.034239 I | rafthttp: starting peer 1ff51c47e4f95221...
2017-09-20 15:02:20.034280 I | rafthttp: started HTTP pipelining with peer 1ff51c47e4f95221
2017-09-20 15:02:20.035628 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 15:02:20.038637 I | rafthttp: started peer 1ff51c47e4f95221
2017-09-20 15:02:20.038662 I | rafthttp: added peer 1ff51c47e4f95221
2017-09-20 15:02:20.038679 I | rafthttp: starting peer a8637664ca9721a5...
2017-09-20 15:02:20.038698 I | rafthttp: started HTTP pipelining with peer a8637664ca9721a5
2017-09-20 15:02:20.040137 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 15:02:20.040156 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 15:02:20.040425 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 15:02:20.040632 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 15:02:20.041656 I | rafthttp: started peer a8637664ca9721a5
2017-09-20 15:02:20.041681 I | rafthttp: added peer a8637664ca9721a5
2017-09-20 15:02:20.041696 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 15:02:20.041715 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 15:02:20.041818 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 15:02:20.042017 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 15:02:20.042743 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 15:02:20.043384 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 15:02:20.043750 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 15:02:20.043778 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 15:02:20.043794 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 15:02:20.043809 I | rafthttp: starting peer fe045def5d726446...
2017-09-20 15:02:20.043835 I | rafthttp: started HTTP pipelining with peer fe045def5d726446
2017-09-20 15:02:20.043893 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 15:02:20.044309 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 15:02:20.045835 I | rafthttp: started peer fe045def5d726446
2017-09-20 15:02:20.045860 I | rafthttp: added peer fe045def5d726446
