2017-09-20 13:24:55 Jepsen starting etcd :--log-output :stderr :--name ec2-35-156-80-2.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:55.691302 I | etcdmain: etcd Version: 3.1.5
2017-09-20 13:24:55.691330 I | etcdmain: Git SHA: 20490ca
2017-09-20 13:24:55.691335 I | etcdmain: Go Version: go1.7.5
2017-09-20 13:24:55.691339 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 13:24:55.691343 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 13:24:55.691352 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:24:55.691375 W | embed: expected IP in URL for binding (http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 13:24:55.691384 W | embed: expected IP in URL for binding (http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 13:24:55.694207 I | embed: listening for peers on http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:55.694690 I | embed: listening for client requests on ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:24:55.700216 I | pkg/netutil: resolving ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 to 172.31.21.212:2380
2017-09-20 13:24:55.700607 I | pkg/netutil: resolving ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 to 172.31.21.212:2380
2017-09-20 13:24:59.701714 I | etcdserver: name = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com
2017-09-20 13:24:59.701756 I | etcdserver: data dir = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:24:59.701764 I | etcdserver: member dir = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 13:24:59.701769 I | etcdserver: heartbeat = 100ms
2017-09-20 13:24:59.701773 I | etcdserver: election = 1000ms
2017-09-20 13:24:59.701781 I | etcdserver: snapshot count = 10000
2017-09-20 13:24:59.701810 I | etcdserver: advertise client URLs = http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:24:59.701816 I | etcdserver: initial advertise peer URLs = http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:59.701841 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:59.708591 I | etcdserver: starting member 4947815f01d43c9c in cluster 663a90b2fc437693
2017-09-20 13:24:59.708638 I | raft: 4947815f01d43c9c became follower at term 0
2017-09-20 13:24:59.708649 I | raft: newRaft 4947815f01d43c9c [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 13:24:59.708662 I | raft: 4947815f01d43c9c became follower at term 1
2017-09-20 13:24:59.721560 I | rafthttp: starting peer 1ff51c47e4f95221...
2017-09-20 13:24:59.721610 I | rafthttp: started HTTP pipelining with peer 1ff51c47e4f95221
2017-09-20 13:24:59.723273 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:24:59.723520 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:24:59.726604 I | rafthttp: started peer 1ff51c47e4f95221
2017-09-20 13:24:59.726646 I | rafthttp: added peer 1ff51c47e4f95221
2017-09-20 13:24:59.726670 I | rafthttp: starting peer a8637664ca9721a5...
2017-09-20 13:24:59.726788 I | rafthttp: started HTTP pipelining with peer a8637664ca9721a5
2017-09-20 13:24:59.726831 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 13:24:59.726934 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 13:24:59.729812 I | rafthttp: started peer a8637664ca9721a5
2017-09-20 13:24:59.729845 I | rafthttp: added peer a8637664ca9721a5
2017-09-20 13:24:59.729863 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 13:24:59.729891 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 13:24:59.731087 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:24:59.731105 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:24:59.731123 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:24:59.731129 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:24:59.731137 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:24:59.731424 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:24:59.732729 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 13:24:59.732754 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 13:24:59.732770 I | rafthttp: starting peer fe045def5d726446...
2017-09-20 13:24:59.732810 I | rafthttp: started HTTP pipelining with peer fe045def5d726446
2017-09-20 13:24:59.734570 I | rafthttp: started peer fe045def5d726446
2017-09-20 13:24:59.734591 I | rafthttp: added peer fe045def5d726446
2017-09-20 13:24:59.734607 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2017-09-20 13:24:59.734867 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:24:59.735069 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream Message reader)
2017-09-20 13:24:59.735209 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:24:59.735227 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:24:59.735265 I | rafthttp: started streaming with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 13:24:59.735432 I | rafthttp: started streaming with peer fe045def5d726446 (stream Message reader)
2017-09-20 13:24:59.737448 I | rafthttp: peer a8637664ca9721a5 became active
2017-09-20 13:24:59.737470 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 writer)
2017-09-20 13:24:59.737824 I | rafthttp: peer 1ff51c47e4f95221 became active
2017-09-20 13:24:59.737850 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream MsgApp v2 writer)
2017-09-20 13:24:59.738048 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message writer)
2017-09-20 13:24:59.738269 I | etcdserver/membership: added member 1ff51c47e4f95221 [http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.738493 I | etcdserver/membership: added member 4947815f01d43c9c [http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.738631 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:24:59.738711 I | etcdserver/membership: added member a8637664ca9721a5 [http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.738745 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 13:24:59.738808 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:24:59.738851 I | etcdserver/membership: added member c7674291f0333bf7 [http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.738972 I | etcdserver/membership: added member fe045def5d726446 [http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.740306 I | rafthttp: peer fe045def5d726446 became active
2017-09-20 13:24:59.740322 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 13:24:59.740336 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream Message writer)
2017-09-20 13:24:59.745433 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream Message writer)
2017-09-20 13:24:59.745483 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream MsgApp v2 writer)
2017-09-20 13:24:59.745504 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream Message reader)
2017-09-20 13:24:59.745555 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 13:24:59.745941 I | rafthttp: peer c7674291f0333bf7 became active
2017-09-20 13:24:59.745959 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message writer)
2017-09-20 13:24:59.746555 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 writer)
2017-09-20 13:24:59.750626 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message reader)
2017-09-20 13:24:59.750716 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:24:59.907347 I | raft: 4947815f01d43c9c [term: 1] received a MsgVote message with higher term from c7674291f0333bf7 [term: 2]
2017-09-20 13:24:59.907402 I | raft: 4947815f01d43c9c became follower at term 2
2017-09-20 13:24:59.907415 I | raft: 4947815f01d43c9c [logterm: 1, index: 5, vote: 0] cast MsgVote for c7674291f0333bf7 [logterm: 1, index: 5] at term 2
2017-09-20 13:24:59.908731 I | raft: raft.node: 4947815f01d43c9c elected leader c7674291f0333bf7 at term 2
2017-09-20 13:24:59.913030 I | etcdserver: published {Name:ec2-35-156-80-2.eu-central-1.compute.amazonaws.com ClientURLs:[http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379]} to cluster 663a90b2fc437693
2017-09-20 13:24:59.913318 I | embed: ready to serve client requests
2017-09-20 13:24:59.913584 N | embed: serving insecure client requests on 172.31.21.212:2379, this is strongly discouraged!
2017-09-20 13:24:59.914865 E | etcdmain: forgot to set Type=notify in systemd service file?
2017-09-20 13:24:59.919137 N | etcdserver/membership: set the initial cluster version to 3.1
2017-09-20 13:24:59.919174 I | etcdserver/api: enabled capabilities for version 3.1
