2017-09-20 14:37:32 Jepsen starting etcd :--log-output :stderr :--name ec2-18-194-134-185.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 14:37:33.057470 I | etcdmain: etcd Version: 3.1.5
2017-09-20 14:37:33.057499 I | etcdmain: Git SHA: 20490ca
2017-09-20 14:37:33.057504 I | etcdmain: Go Version: go1.7.5
2017-09-20 14:37:33.057508 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 14:37:33.057512 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 14:37:33.057523 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-194-134-185.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 14:37:33.057535 W | embed: expected IP in URL for binding (http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 14:37:33.057541 W | embed: expected IP in URL for binding (http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 14:37:33.059163 I | embed: listening for peers on http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380
2017-09-20 14:37:33.059775 I | embed: listening for client requests on ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379
2017-09-20 14:37:33.066489 I | pkg/netutil: resolving ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 to 172.31.30.184:2380
2017-09-20 14:37:33.067012 I | pkg/netutil: resolving ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 to 172.31.30.184:2380
2017-09-20 14:37:37.067951 I | etcdserver: name = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com
2017-09-20 14:37:37.067979 I | etcdserver: data dir = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 14:37:37.067986 I | etcdserver: member dir = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 14:37:37.068004 I | etcdserver: heartbeat = 100ms
2017-09-20 14:37:37.068009 I | etcdserver: election = 1000ms
2017-09-20 14:37:37.068015 I | etcdserver: snapshot count = 10000
2017-09-20 14:37:37.068028 I | etcdserver: advertise client URLs = http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379
2017-09-20 14:37:37.068034 I | etcdserver: initial advertise peer URLs = http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380
2017-09-20 14:37:37.068060 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 14:37:37.075156 I | etcdserver: starting member a8637664ca9721a5 in cluster 663a90b2fc437693
2017-09-20 14:37:37.075204 I | raft: a8637664ca9721a5 became follower at term 0
2017-09-20 14:37:37.075223 I | raft: newRaft a8637664ca9721a5 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 14:37:37.075244 I | raft: a8637664ca9721a5 became follower at term 1
2017-09-20 14:37:37.089390 I | rafthttp: starting peer 1ff51c47e4f95221...
2017-09-20 14:37:37.089434 I | rafthttp: started HTTP pipelining with peer 1ff51c47e4f95221
2017-09-20 14:37:37.090731 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 14:37:37.093491 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 14:37:37.093512 I | rafthttp: started peer 1ff51c47e4f95221
2017-09-20 14:37:37.093539 I | rafthttp: added peer 1ff51c47e4f95221
2017-09-20 14:37:37.093558 I | rafthttp: starting peer 4947815f01d43c9c...
2017-09-20 14:37:37.093572 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 14:37:37.093590 I | rafthttp: started HTTP pipelining with peer 4947815f01d43c9c
2017-09-20 14:37:37.093661 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 14:37:37.095547 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 14:37:37.095747 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 14:37:37.096557 I | rafthttp: started peer 4947815f01d43c9c
2017-09-20 14:37:37.096578 I | rafthttp: added peer 4947815f01d43c9c
2017-09-20 14:37:37.096595 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 14:37:37.096622 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 14:37:37.098283 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 14:37:37.098313 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 14:37:37.098329 I | rafthttp: starting peer fe045def5d726446...
2017-09-20 14:37:37.098344 I | rafthttp: started HTTP pipelining with peer fe045def5d726446
2017-09-20 14:37:37.098855 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream MsgApp v2 reader)
2017-09-20 14:37:37.099052 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream Message reader)
2017-09-20 14:37:37.099185 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 14:37:37.099213 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 14:37:37.101470 I | rafthttp: started peer fe045def5d726446
2017-09-20 14:37:37.101494 I | rafthttp: added peer fe045def5d726446
2017-09-20 14:37:37.101509 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2017-09-20 14:37:37.101799 I | rafthttp: started streaming with peer fe045def5d726446 (stream Message reader)
2017-09-20 14:37:37.102420 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 14:37:37.102437 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 14:37:37.102446 I | rafthttp: started streaming with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 14:37:37.103703 I | rafthttp: peer c7674291f0333bf7 became active
2017-09-20 14:37:37.103720 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 writer)
2017-09-20 14:37:37.103864 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message writer)
2017-09-20 14:37:37.103974 I | rafthttp: peer 4947815f01d43c9c became active
2017-09-20 14:37:37.103991 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream Message writer)
