2017-09-20 13:35:45 Jepsen starting etcd :--log-output :stderr :--name ec2-18-194-134-185.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:35:45.672031 I | etcdmain: etcd Version: 3.1.5
2017-09-20 13:35:45.672060 I | etcdmain: Git SHA: 20490ca
2017-09-20 13:35:45.672065 I | etcdmain: Go Version: go1.7.5
2017-09-20 13:35:45.672069 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 13:35:45.672073 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 13:35:45.672081 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-194-134-185.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:35:45.672093 W | embed: expected IP in URL for binding (http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 13:35:45.672099 W | embed: expected IP in URL for binding (http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 13:35:45.673449 I | embed: listening for peers on http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:35:45.673857 I | embed: listening for client requests on ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:35:45.678934 I | pkg/netutil: resolving ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 to 172.31.30.184:2380
2017-09-20 13:35:45.679354 I | pkg/netutil: resolving ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380 to 172.31.30.184:2380
2017-09-20 13:35:49.680411 I | etcdserver: name = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com
2017-09-20 13:35:49.680442 I | etcdserver: data dir = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:35:49.680448 I | etcdserver: member dir = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 13:35:49.680453 I | etcdserver: heartbeat = 100ms
2017-09-20 13:35:49.680457 I | etcdserver: election = 1000ms
2017-09-20 13:35:49.680462 I | etcdserver: snapshot count = 10000
2017-09-20 13:35:49.680485 I | etcdserver: advertise client URLs = http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:35:49.680493 I | etcdserver: initial advertise peer URLs = http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:35:49.680513 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:35:49.686512 I | etcdserver: starting member a8637664ca9721a5 in cluster 663a90b2fc437693
2017-09-20 13:35:49.686542 I | raft: a8637664ca9721a5 became follower at term 0
2017-09-20 13:35:49.686552 I | raft: newRaft a8637664ca9721a5 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 13:35:49.686564 I | raft: a8637664ca9721a5 became follower at term 1
2017-09-20 13:35:49.713787 I | rafthttp: starting peer 1ff51c47e4f95221...
2017-09-20 13:35:49.713849 I | rafthttp: started HTTP pipelining with peer 1ff51c47e4f95221
2017-09-20 13:35:49.716144 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:35:49.718161 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:35:49.718185 I | rafthttp: started peer 1ff51c47e4f95221
2017-09-20 13:35:49.718210 I | rafthttp: added peer 1ff51c47e4f95221
2017-09-20 13:35:49.718224 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 13:35:49.718252 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 13:35:49.718376 I | rafthttp: starting peer 4947815f01d43c9c...
2017-09-20 13:35:49.718399 I | rafthttp: started HTTP pipelining with peer 4947815f01d43c9c
2017-09-20 13:35:49.719702 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 13:35:49.721991 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 13:35:49.722002 I | rafthttp: started peer 4947815f01d43c9c
2017-09-20 13:35:49.722023 I | rafthttp: added peer 4947815f01d43c9c
2017-09-20 13:35:49.722039 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 13:35:49.722062 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 13:35:49.723150 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 13:35:49.723169 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 13:35:49.723183 I | rafthttp: starting peer fe045def5d726446...
2017-09-20 13:35:49.723214 I | rafthttp: started HTTP pipelining with peer fe045def5d726446
2017-09-20 13:35:49.723594 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream Message reader)
2017-09-20 13:35:49.723609 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream MsgApp v2 reader)
2017-09-20 13:35:49.724160 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:35:49.724170 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:35:49.724175 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:35:49.726689 I | rafthttp: started peer fe045def5d726446
