2017-09-20 13:56:48 Jepsen starting etcd :--log-output :stderr :--name ec2-18-194-87-54.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:56:48.371438 I | etcdmain: etcd Version: 3.1.5
2017-09-20 13:56:48.371467 I | etcdmain: Git SHA: 20490ca
2017-09-20 13:56:48.371472 I | etcdmain: Go Version: go1.7.5
2017-09-20 13:56:48.371476 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 13:56:48.371481 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 13:56:48.371488 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-194-87-54.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:56:48.371500 W | embed: expected IP in URL for binding (http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 13:56:48.371508 W | embed: expected IP in URL for binding (http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 13:56:48.372882 I | embed: listening for peers on http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:56:48.373293 I | embed: listening for client requests on ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:56:48.378599 I | pkg/netutil: resolving ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 to 172.31.16.40:2380
2017-09-20 13:56:48.378985 I | pkg/netutil: resolving ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 to 172.31.16.40:2380
2017-09-20 13:56:52.379944 I | etcdserver: name = ec2-18-194-87-54.eu-central-1.compute.amazonaws.com
2017-09-20 13:56:52.379974 I | etcdserver: data dir = ec2-18-194-87-54.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:56:52.379981 I | etcdserver: member dir = ec2-18-194-87-54.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 13:56:52.379986 I | etcdserver: heartbeat = 100ms
2017-09-20 13:56:52.379991 I | etcdserver: election = 1000ms
2017-09-20 13:56:52.379996 I | etcdserver: snapshot count = 10000
2017-09-20 13:56:52.380007 I | etcdserver: advertise client URLs = http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:56:52.380013 I | etcdserver: initial advertise peer URLs = http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:56:52.380034 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:56:52.386043 I | etcdserver: starting member 1ff51c47e4f95221 in cluster 663a90b2fc437693
2017-09-20 13:56:52.386073 I | raft: 1ff51c47e4f95221 became follower at term 0
2017-09-20 13:56:52.386083 I | raft: newRaft 1ff51c47e4f95221 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 13:56:52.386099 I | raft: 1ff51c47e4f95221 became follower at term 1
2017-09-20 13:56:52.405344 I | rafthttp: starting peer 4947815f01d43c9c...
2017-09-20 13:56:52.405385 I | rafthttp: started HTTP pipelining with peer 4947815f01d43c9c
2017-09-20 13:56:52.407439 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 13:56:52.409489 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 13:56:52.409513 I | rafthttp: started peer 4947815f01d43c9c
2017-09-20 13:56:52.409536 I | rafthttp: added peer 4947815f01d43c9c
2017-09-20 13:56:52.409556 I | rafthttp: starting peer a8637664ca9721a5...
2017-09-20 13:56:52.409577 I | rafthttp: started HTTP pipelining with peer a8637664ca9721a5
2017-09-20 13:56:52.409744 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream MsgApp v2 reader)
2017-09-20 13:56:52.409838 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream Message reader)
2017-09-20 13:56:52.411639 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:56:52.411657 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:56:52.412680 I | rafthttp: started peer a8637664ca9721a5
2017-09-20 13:56:52.412705 I | rafthttp: added peer a8637664ca9721a5
2017-09-20 13:56:52.412721 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 13:56:52.413212 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 13:56:52.414509 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 13:56:52.414535 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 13:56:52.414550 I | rafthttp: starting peer fe045def5d726446...
2017-09-20 13:56:52.414564 I | rafthttp: started HTTP pipelining with peer fe045def5d726446
2017-09-20 13:56:52.415027 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:56:52.416638 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:56:52.416687 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:56:52.416909 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream Message reader)
2017-09-20 13:56:52.418200 I | rafthttp: started peer fe045def5d726446
2017-09-20 13:56:52.418223 I | rafthttp: added peer fe045def5d726446
2017-09-20 13:56:52.418238 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2017-09-20 13:56:52.418473 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:56:52.418520 I | rafthttp: started streaming with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 13:56:52.418718 I | rafthttp: started streaming with peer fe045def5d726446 (stream Message reader)
2017-09-20 13:56:52.419478 I | rafthttp: peer c7674291f0333bf7 became active
2017-09-20 13:56:52.419496 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 writer)
2017-09-20 13:56:52.420452 I | rafthttp: peer a8637664ca9721a5 became active
2017-09-20 13:56:52.420470 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 writer)
2017-09-20 13:56:52.420571 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message writer)
2017-09-20 13:56:52.420790 I | etcdserver/membership: added member 1ff51c47e4f95221 [http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:56:52.420887 I | etcdserver/membership: added member 4947815f01d43c9c [http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:56:52.420977 I | etcdserver/membership: added member a8637664ca9721a5 [http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:56:52.421078 I | etcdserver/membership: added member c7674291f0333bf7 [http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:56:52.421183 I | etcdserver/membership: added member fe045def5d726446 [http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:56:52.421466 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:56:52.421635 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:56:52.422229 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:56:52.422328 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message reader)
2017-09-20 13:56:52.422349 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:56:52.422361 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message writer)
2017-09-20 13:56:52.423754 I | rafthttp: peer fe045def5d726446 became active
2017-09-20 13:56:52.423770 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 13:56:52.425340 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:56:52.425432 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:56:52.426033 I | rafthttp: peer 4947815f01d43c9c became active
2017-09-20 13:56:52.426050 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream Message reader)
2017-09-20 13:56:52.426086 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream Message reader)
2017-09-20 13:56:52.426109 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream Message writer)
2017-09-20 13:56:52.426144 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream MsgApp v2 writer)
2017-09-20 13:56:52.426159 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream MsgApp v2 reader)
2017-09-20 13:56:52.427671 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream Message writer)
2017-09-20 13:56:52.431431 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream MsgApp v2 writer)
2017-09-20 13:56:52.991177 I | raft: 1ff51c47e4f95221 [term: 1] received a MsgVote message with higher term from fe045def5d726446 [term: 2]
2017-09-20 13:56:52.991214 I | raft: 1ff51c47e4f95221 became follower at term 2
2017-09-20 13:56:52.991226 I | raft: 1ff51c47e4f95221 [logterm: 1, index: 5, vote: 0] cast MsgVote for fe045def5d726446 [logterm: 1, index: 5] at term 2
2017-09-20 13:56:52.992725 I | raft: raft.node: 1ff51c47e4f95221 elected leader fe045def5d726446 at term 2
2017-09-20 13:56:52.997069 I | embed: ready to serve client requests
2017-09-20 13:56:52.997105 E | etcdmain: forgot to set Type=notify in systemd service file?
2017-09-20 13:56:52.997123 I | etcdserver: published {Name:ec2-18-194-87-54.eu-central-1.compute.amazonaws.com ClientURLs:[http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379]} to cluster 663a90b2fc437693
2017-09-20 13:56:52.997346 N | embed: serving insecure client requests on 172.31.16.40:2379, this is strongly discouraged!
2017-09-20 13:56:53.005095 N | etcdserver/membership: set the initial cluster version to 3.1
2017-09-20 13:56:53.005157 I | etcdserver/api: enabled capabilities for version 3.1
