2017-09-20 13:30:57 Jepsen starting etcd :--log-output :stderr :--name ec2-18-196-0-107.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:30:57.604305 I | etcdmain: etcd Version: 3.1.5
2017-09-20 13:30:57.604337 I | etcdmain: Git SHA: 20490ca
2017-09-20 13:30:57.604342 I | etcdmain: Go Version: go1.7.5
2017-09-20 13:30:57.604346 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 13:30:57.604352 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 13:30:57.604359 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-196-0-107.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:30:57.604371 W | embed: expected IP in URL for binding (http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 13:30:57.604377 W | embed: expected IP in URL for binding (http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 13:30:57.605540 I | embed: listening for peers on http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:30:57.605935 I | embed: listening for client requests on ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:30:57.615971 I | pkg/netutil: resolving ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380 to 172.31.31.54:2380
2017-09-20 13:30:57.616307 I | pkg/netutil: resolving ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380 to 172.31.31.54:2380
2017-09-20 13:31:01.617260 I | etcdserver: name = ec2-18-196-0-107.eu-central-1.compute.amazonaws.com
2017-09-20 13:31:01.617300 I | etcdserver: data dir = ec2-18-196-0-107.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:31:01.617308 I | etcdserver: member dir = ec2-18-196-0-107.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 13:31:01.617312 I | etcdserver: heartbeat = 100ms
2017-09-20 13:31:01.617316 I | etcdserver: election = 1000ms
2017-09-20 13:31:01.617321 I | etcdserver: snapshot count = 10000
2017-09-20 13:31:01.617333 I | etcdserver: advertise client URLs = http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:31:01.617339 I | etcdserver: initial advertise peer URLs = http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:31:01.617367 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:31:01.623591 I | etcdserver: starting member c7674291f0333bf7 in cluster 663a90b2fc437693
2017-09-20 13:31:01.623615 I | raft: c7674291f0333bf7 became follower at term 0
2017-09-20 13:31:01.623624 I | raft: newRaft c7674291f0333bf7 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 13:31:01.623636 I | raft: c7674291f0333bf7 became follower at term 1
2017-09-20 13:31:01.635963 I | rafthttp: starting peer 1ff51c47e4f95221...
2017-09-20 13:31:01.636016 I | rafthttp: started HTTP pipelining with peer 1ff51c47e4f95221
2017-09-20 13:31:01.637393 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:31:01.637412 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
