2017-09-20 13:24:55 Jepsen starting etcd :--log-output :stderr :--name ec2-18-194-87-54.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:55.776161 I | etcdmain: etcd Version: 3.1.5
2017-09-20 13:24:55.776195 I | etcdmain: Git SHA: 20490ca
2017-09-20 13:24:55.776201 I | etcdmain: Go Version: go1.7.5
2017-09-20 13:24:55.776205 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 13:24:55.776210 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 13:24:55.776219 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-194-87-54.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:24:55.776233 W | embed: expected IP in URL for binding (http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 13:24:55.776239 W | embed: expected IP in URL for binding (http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 13:24:55.779187 I | embed: listening for peers on http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:55.779592 I | embed: listening for client requests on ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:24:55.784656 I | pkg/netutil: resolving ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 to 172.31.16.40:2380
2017-09-20 13:24:55.785034 I | pkg/netutil: resolving ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380 to 172.31.16.40:2380
2017-09-20 13:24:59.786133 I | etcdserver: name = ec2-18-194-87-54.eu-central-1.compute.amazonaws.com
2017-09-20 13:24:59.786166 I | etcdserver: data dir = ec2-18-194-87-54.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:24:59.786173 I | etcdserver: member dir = ec2-18-194-87-54.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 13:24:59.786178 I | etcdserver: heartbeat = 100ms
2017-09-20 13:24:59.786183 I | etcdserver: election = 1000ms
2017-09-20 13:24:59.786188 I | etcdserver: snapshot count = 10000
2017-09-20 13:24:59.786200 I | etcdserver: advertise client URLs = http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:24:59.786206 I | etcdserver: initial advertise peer URLs = http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:59.786227 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:24:59.791113 I | etcdserver: starting member 1ff51c47e4f95221 in cluster 663a90b2fc437693
2017-09-20 13:24:59.791147 I | raft: 1ff51c47e4f95221 became follower at term 0
2017-09-20 13:24:59.791157 I | raft: newRaft 1ff51c47e4f95221 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 13:24:59.791169 I | raft: 1ff51c47e4f95221 became follower at term 1
2017-09-20 13:24:59.810260 I | rafthttp: starting peer 4947815f01d43c9c...
2017-09-20 13:24:59.810326 I | rafthttp: started HTTP pipelining with peer 4947815f01d43c9c
2017-09-20 13:24:59.812735 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 13:24:59.815171 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 13:24:59.815191 I | rafthttp: started peer 4947815f01d43c9c
2017-09-20 13:24:59.815213 I | rafthttp: added peer 4947815f01d43c9c
2017-09-20 13:24:59.815228 I | rafthttp: starting peer a8637664ca9721a5...
2017-09-20 13:24:59.815241 I | rafthttp: started HTTP pipelining with peer a8637664ca9721a5
2017-09-20 13:24:59.815265 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream Message reader)
2017-09-20 13:24:59.815947 I | rafthttp: started streaming with peer 4947815f01d43c9c (stream MsgApp v2 reader)
2017-09-20 13:24:59.818040 I | rafthttp: started peer a8637664ca9721a5
2017-09-20 13:24:59.818065 I | rafthttp: added peer a8637664ca9721a5
2017-09-20 13:24:59.818081 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 13:24:59.818106 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 13:24:59.819096 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:24:59.819712 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:24:59.819811 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:24:59.820064 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:24:59.821219 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 13:24:59.821245 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 13:24:59.821262 I | rafthttp: starting peer fe045def5d726446...
2017-09-20 13:24:59.821286 I | rafthttp: started HTTP pipelining with peer fe045def5d726446
2017-09-20 13:24:59.821344 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:24:59.821377 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:24:59.822675 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:24:59.822707 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream Message reader)
2017-09-20 13:24:59.822980 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:24:59.823186 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:24:59.823463 I | rafthttp: started peer fe045def5d726446
2017-09-20 13:24:59.823478 I | rafthttp: added peer fe045def5d726446
2017-09-20 13:24:59.823489 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2017-09-20 13:24:59.823636 I | rafthttp: started streaming with peer fe045def5d726446 (stream Message reader)
2017-09-20 13:24:59.824016 I | rafthttp: started streaming with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 13:24:59.825882 I | rafthttp: peer 4947815f01d43c9c became active
2017-09-20 13:24:59.825914 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream MsgApp v2 reader)
2017-09-20 13:24:59.826613 I | rafthttp: peer fe045def5d726446 became active
2017-09-20 13:24:59.826631 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream MsgApp v2 writer)
2017-09-20 13:24:59.826984 I | rafthttp: peer a8637664ca9721a5 became active
2017-09-20 13:24:59.827001 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:24:59.827089 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream Message reader)
2017-09-20 13:24:59.827135 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:24:59.828327 I | etcdserver/membership: added member 1ff51c47e4f95221 [http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.828490 I | etcdserver/membership: added member 4947815f01d43c9c [http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.828606 I | etcdserver/membership: added member a8637664ca9721a5 [http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.828722 I | etcdserver/membership: added member c7674291f0333bf7 [http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.828835 I | etcdserver/membership: added member fe045def5d726446 [http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:24:59.829017 I | rafthttp: peer c7674291f0333bf7 became active
2017-09-20 13:24:59.829033 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 writer)
2017-09-20 13:24:59.829145 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message writer)
2017-09-20 13:24:59.829558 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream Message writer)
2017-09-20 13:24:59.829748 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 writer)
2017-09-20 13:24:59.829886 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message writer)
2017-09-20 13:24:59.830048 I | rafthttp: established a TCP streaming connection with peer 4947815f01d43c9c (stream Message writer)
