2017-09-20 13:27:31 Jepsen starting etcd :--log-output :stderr :--name ec2-18-194-52-75.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:27:31.532893 I | etcdmain: etcd Version: 3.1.5
2017-09-20 13:27:31.532922 I | etcdmain: Git SHA: 20490ca
2017-09-20 13:27:31.532927 I | etcdmain: Go Version: go1.7.5
2017-09-20 13:27:31.532931 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 13:27:31.532936 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 13:27:31.532943 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-194-52-75.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:27:31.532955 W | embed: expected IP in URL for binding (http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 13:27:31.532960 W | embed: expected IP in URL for binding (http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 13:27:31.534308 I | embed: listening for peers on http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:27:31.534733 I | embed: listening for client requests on ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:27:31.540561 I | pkg/netutil: resolving ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 to 172.31.20.19:2380
2017-09-20 13:27:31.540925 I | pkg/netutil: resolving ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 to 172.31.20.19:2380
2017-09-20 13:27:35.541825 I | etcdserver: name = ec2-18-194-52-75.eu-central-1.compute.amazonaws.com
2017-09-20 13:27:35.541874 I | etcdserver: data dir = ec2-18-194-52-75.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:27:35.541881 I | etcdserver: member dir = ec2-18-194-52-75.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 13:27:35.541886 I | etcdserver: heartbeat = 100ms
2017-09-20 13:27:35.541891 I | etcdserver: election = 1000ms
2017-09-20 13:27:35.541896 I | etcdserver: snapshot count = 10000
2017-09-20 13:27:35.541907 I | etcdserver: advertise client URLs = http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:27:35.541914 I | etcdserver: initial advertise peer URLs = http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:27:35.541944 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:27:35.547671 I | etcdserver: starting member fe045def5d726446 in cluster 663a90b2fc437693
2017-09-20 13:27:35.547696 I | raft: fe045def5d726446 became follower at term 0
2017-09-20 13:27:35.547708 I | raft: newRaft fe045def5d726446 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 13:27:35.547719 I | raft: fe045def5d726446 became follower at term 1
2017-09-20 13:27:35.581282 I | rafthttp: starting peer 1ff51c47e4f95221...
2017-09-20 13:27:35.581338 I | rafthttp: started HTTP pipelining with peer 1ff51c47e4f95221
2017-09-20 13:27:35.582499 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:27:35.582661 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:27:35.585386 I | rafthttp: started peer 1ff51c47e4f95221
2017-09-20 13:27:35.585412 I | rafthttp: added peer 1ff51c47e4f95221
2017-09-20 13:27:35.585430 I | rafthttp: starting peer 4947815f01d43c9c...
2017-09-20 13:27:35.585450 I | rafthttp: started HTTP pipelining with peer 4947815f01d43c9c
2017-09-20 13:27:35.585876 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 13:27:35.587463 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 13:27:35.587726 I | rafthttp: started streaming with peer 4947815f01d43c9c (writer)
2017-09-20 13:27:35.589490 I | rafthttp: started peer 4947815f01d43c9c
2017-09-20 13:27:35.589517 I | rafthttp: added peer 4947815f01d43c9c
2017-09-20 13:27:35.589533 I | rafthttp: starting peer a8637664ca9721a5...
2017-09-20 13:27:35.589561 I | rafthttp: started HTTP pipelining with peer a8637664ca9721a5
2017-09-20 13:27:35.590977 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:27:35.591684 I | rafthttp: started peer a8637664ca9721a5
2017-09-20 13:27:35.591706 I | rafthttp: added peer a8637664ca9721a5
2017-09-20 13:27:35.591722 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 13:27:35.591741 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 13:27:35.593616 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 13:27:35.593637 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 13:27:35.593653 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2017-09-20 13:27:35.593921 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:27:35.594148 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:27:35.594289 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:27:35.594323 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:27:35.594361 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream MsgApp v2 reader)
